date,code,market_cap,next_ret,benchmark_ret,is_st,listed_days,tradable,amount
2015-01-30,sh.600110,743101.61,0.040247678,0.040313709,0,3677,1,134071.57
2015-01-30,sh.600111,6382085.9,-0.025047438,0.040313709,0,3677,1,1451335.9
2015-01-30,sh.600113,396019.8,-0.037007241,0.040313709,0,3677,1,237920.66
2015-01-30,sh.600114,523952.35,0.061195104,0.040313709,0,3677,1,30669.874
2015-01-30,sh.600115,6514574.2,0.064202335,0.040313709,0,3677,1,258214.23
2015-01-30,sh.600116,388993.27,0.22008253,0.040313709,0,3677,1,183442.36
2015-01-30,sh.600117,372833.28,0.041749503,0.040313709,0,3677,1,50192.845
2015-01-30,sh.600118,3482430.5,0.079456706,0.040313709,0,3677,1,636073.71
2015-01-30,sh.600119,459255.6,0.14524766,0.040313709,0,3677,1,129293.46
2015-01-30,sh.600120,1114569,0.13469388,0.040313709,0,3677,1,224296.62
2015-01-30,sh.600121,566561.6,0.053763441,0.040313709,0,3677,1,28575.421
2015-01-30,sh.600123,1076140.8,0.016985138,0.040313709,0,3677,1,98160.78
2015-01-30,sh.600125,1156692.4,-0.023702032,0.040313709,0,3677,1,327995.38
2015-01-30,sh.600127,383786.36,0.011705686,0.040313709,0,3677,1,89462.05
2015-01-30,sh.600128,333382.89,0.051813472,0.040313709,0,3677,1,85495.72
2015-01-30,sh.600130,434688,0.20848057,0.040313709,0,3677,1,167560.43
2015-01-30,sh.600131,330201.98,0.041221374,0.040313709,0,3677,1,40495.854
2015-01-30,sh.600132,798068.51,-0.0048514251,0.040313709,0,3677,1,53648.988
2015-01-30,sh.600133,565123.69,0.03030303,0.040313709,0,3677,1,111528.76
2015-01-30,sh.600135,427842,0.059152678,0.040313709,0,3677,1,52298.026
2015-01-30,sh.600136,175048.14,0.22136038,0.040313709,0,3677,1,19134.861
2015-01-30,sh.600137,167408.69,0.047619048,0.040313709,0,3677,1,11103.575
2015-01-30,sh.600138,1247176.3,0.011607661,0.040313709,0,3677,1,157692.64
2015-01-30,sh.600141,821576.73,0.043281654,0.040313709,0,3677,1,241148.78
2015-01-30,sh.600143,1745920,0.021994135,0.040313709,0,3677,1,177908.99
2015-01-30,sh.600148,290108.72,0.038536585,0.040313709,0,3677,1,73514.49
2015-01-30,sh.600149,751196.16,-0.019736842,0.040313709,0,3677,1,275497.05
2015-01-30,sh.600150,4976382.6,0.016338964,0.040313709,0,3677,1,778540.4
2015-01-30,sh.600151,1273933.3,0.092247301,0.040313709,0,3677,1,295122.92
2015-01-30,sh.600152,220120.65,0.061333333,0.040313709,0,3677,1,50947.665
2015-01-30,sh.600153,2744474.1,0.051652893,0.040313709,0,3677,1,313290.5
2015-01-30,sh.600155,762087.5,-0.042526579,0.040313709,0,3677,1,139381.98
2015-01-30,sh.600156,330535,0.018248175,0.040313709,0,3677,1,141773.4
2015-01-30,sh.600157,1548382.1,0.10958904,0.040313709,0,3677,1,215372.35
2015-01-30,sh.600158,1604784.7,0.10094637,0.040313709,0,3677,1,727347.39
2015-01-30,sh.600159,355241.38,0.018691589,0.040313709,1,3677,1,53909.609
2015-01-30,sh.600160,1282128.5,0.055084746,0.040313709,0,3677,1,191662.8
2015-01-30,sh.600161,1543307.8,-0.034736139,0.040313709,0,3677,1,172671.81
2015-01-30,sh.600162,,0.03030303,0.040313709,0,3677,0,
2015-01-30,sh.600163,410487.96,-0.10544815,0.040313709,0,3677,1,185941.67
2015-01-30,sh.600165,282172.12,0.14271845,0.040313709,0,3677,1,47069.703
2015-01-30,sh.600166,1705470.7,0.052718287,0.040313709,0,3677,1,149031.45
2015-01-30,sh.600167,293290,0.065467626,0.040313709,0,3677,1,17484.009
2015-01-30,sh.600168,907539.64,0.1477717,0.040313709,0,3677,1,104176.07
2015-01-30,sh.600169,1808270.4,0.0013404826,0.040313709,0,3677,1,581884.41
2015-01-30,sh.600170,4279114.3,0.11965812,0.040313709,0,3677,1,920952.26
2015-01-30,sh.600171,856409.68,0.090479937,0.040313709,0,3677,1,296221.68
2015-01-30,sh.600172,461891.61,0.04965358,0.040313709,0,3677,1,117297.78
2015-01-30,sh.600173,506152.93,0.1017192,0.040313709,0,3677,1,55500.427
2015-01-30,sh.600176,1352575.7,0.063870968,0.040313709,0,3677,1,203334.08
2015-01-30,sh.600177,2718692.9,0.031941032,0.040313709,0,3677,1,759762.56
2015-01-30,sh.600178,313290.24,0.10029499,0.040313709,1,3677,1,52765.501
2015-01-30,sh.600180,1361309,0.21032258,0.040313709,0,3677,1,111595.6
2015-01-30,sh.600182,554880,0.0049019608,0.040313709,0,3677,1,31108.278
2015-01-30,sh.600183,1065840.7,0.037383178,0.040313709,0,3677,1,96275.173
2015-01-30,sh.600184,792295.48,0.049418605,0.040313709,0,3677,1,28504.891
2015-01-30,sh.600185,1426658.2,0.081376518,0.040313709,0,3677,1,428664.34
2015-01-30,sh.600186,489593.21,0.056399132,0.040313709,0,3677,1,101185.52
2015-01-30,sh.600187,1005836.3,0.037626628,0.040313709,0,3677,1,493176.87
2015-01-30,sh.600188,6561145.6,-0.016491754,0.040313709,0,3677,1,162979.71
2015-01-30,sh.600189,293422.5,0.015873016,0.040313709,0,3677,1,87841.303
2015-01-30,sh.600191,468444.31,0.0041407867,0.040313709,0,3677,1,86247.59
2015-01-30,sh.600192,466044.14,0.041706161,0.040313709,0,3677,1,106004.97
2015-01-30,sh.600193,290955.13,0.11549708,0.040313709,0,3677,1,59164.903
2015-01-30,sh.600195,727651.4,0.02776137,0.040313709,0,3677,1,87083.368
2015-01-30,sh.600196,5171074.6,0.012516764,0.040313709,0,3677,1,422635.53
2015-01-30,sh.600197,527436,0.011705686,0.040313709,0,3677,1,54685.402
2015-01-30,sh.600198,1516344.5,0.15183246,0.040313709,0,3677,1,111663.6
